ID,tweet,ingredients
1336706708337410048t,Maybe we should start calling it The Jim Jones Vaccine Four Volunteers Who Took Pfizers COVID19 Vaccine Developed Bells Palsy  FDA Denies the Temporary Facial Paralysis Caused by the Shot ,0
1354844941168619524t,  About the disputed efficacy of the AZ vaccine see here  About the derivation of these vaccines from aborted baby parts see this video interview and transcrip with a virus  vaccine expert ,1
1355635099983867910t,Good site Its accurate What are we injecting THE CULLING OF THE HUMAN RACE BEGINS See the Horrifying Ingredients in AstraZenecas Covid19 Vaccine  via ,1
1288813148372434944t,   Fauci owns stock in Gilead and Moderna He hired Surgisphere to write a phony study on HCQ The Lancet recently retracted the entire study for FRAUD Yay Fraudulent Fucking Murderous Fauci ,0
1344728152178741249t, Absolutely no way a vaccine using aborted fetuses is ok The priests are brainwashed fools The Roman Catholic church has been corrupted,1
1377316413908557824t,The mRNA vaccine is putting nanoparticles into your system ,1
1297796797541183489t, Would you take the vaccine after seeing this AstraZenecaOxfords vaccine also contains nanomaterials  ,1
1345048552653918214t,Did he not want them injected PICTURED Pharmacist who deliberately spoiled 57 Moderna vaccine vials by removing them from storage and leaving them out overnight before 57 people were given ineffective dose ,0
1433513524756549635t,Few people know this but bodily autonomy is when youre told you have to take a newly minted vaccination to participate in daily life Thanks  for setting me straight by chance does my MayJune Moderna shot prevent me from transmitting the disease to others if I have it,0
1330633880307687428t,A very thoughtful approach to taking the new Moderna mRNA1273 vaccine open article Could mRNA COVID19 vaccines be dangerous in the longterm  ,0
1262547114678083584t,     Why trust a MAN who names his company microsoft WAKE UP PPL GATES says HE WANTS TO CONTROL POPULATION WITH VAINES,0
1281119321306079232t,  Gates is linked to almost everyone one of these things thats why so many have been critical of him Nanoparticle DNA altering vaccines  Moderna using brain waves for mining cryptocurrency ID2020 alliance You cant make this stuff up smh God bless guys,1
1325600421059112966t,  Vaccines in general have never been proven or shown to be safe or effective not one The COVID19 virus has never been isolatedThe rtPCR test the basis for the diagnosis of the disease in the first place is completely and utterly flawed Are you keeping up,0
1421753444738781186t, also concerned about an upcoming  alumadjuvanted wholeinactivated virion vaccine Covaxin should be OK as they use a better adjuvant Although it cant be  ruled out I think this is very low risk for mRNAvector We would have seen it by now The best recent paper,1
1361690942432927746t,Good only to implant their chips of course that is the entire purpose South Africa to share 1 million AstraZeneca Covid vaccine doses with continent as study says jab ineffective against local variant  RT World News ,1
1330276155472179200t,MRC5 is used in making the hepatitis A polio and varicella chicken pox vaccines   MRC5 is found in the lung tissue of 14 week old aborted males   Its said to be used in the new Covid vaccine   Dont believe me Look it up,1
1334077684809420800t,Remember you have an immune system that has been extremely efficient in protecting most of us from this virus  and a study indicates if you have the antibodies being injected with a antiCovid vaccine it is not the best idea ,1
1400895364912271366t,Sent from an Android phone that David did not NEED but which involved slave labor in getting raw materials  which was partially made in China funding Chinese forced abortions He needs this phone less than a COVID vaccine  cooperates in evil more by using it,0
1288791665084432384t, The first time I heard of a biometric chip was USAID funding a medical team in Africa so that the wouldnt be able to get the same vaccine twice I was disgusted then more so now Ive read your article,1
1378811024439132164t,Contamination spoils 15 million Johnson  Johnson vaccine doses  ,1
1296961330545483776t,This is exactly why the covid vaccine should not be mandatory  CITIZENS should have the RIGHT to CHOOSE with NO consequences AstraZeneca to be exempt from coronavirus vaccine liability claims in most countries  Article AMP  Reuters ,0
1365819211206057993t,No thanks Wonder if it will be as good as their cancer causing baby powder I think Ill wait until a safer vaccine is given approval that uses proven safer techniques likes the covaxin vaccine that is on the way Thanks but no thanks,1
1325991086540648452t,  This vaccine from Pfizer looks like heroin from Bayer 120 years ago guarantee 100 cure you only fool idiots,0
1280151690935754753t,Natural NewsThe 1st human trials for a potential Wuhan coronavirus COVID19 vaccine are set to begin in Africa and protesters in Johannesburg have taken to the streets in protest to declare that they will not be human guinea pigs for this latest Bill Gates depopulation scheme,0
1425117609771651074t,Israel add to CDCs avoid travel list due as Delta wreaks havoc on a highly vaccinated population Despite high vaccination rates Israel recently found out the hard way Pfizer  the best vaccine against delta  is only 39 effective in stopping Delta infections ,0
1297985508153294848t,The unelected non licensed health expert who was sued for violating anti trust laws wishes to save us all with his magic needle Will you take the vaccine Seems to be a monopoly on treatment options here as well ,0
1328519134485868545t, Now the people are being told vaccines will shortly provide them with the immunity they apparently lackThis is an even greater threatas the Moderna vaccines that may be used as reported by the great Mint Press News now Unlimited Hangout reporter Whitney Webbare DNA tamperers,0
1326164902499803137t,The Covid vaccine may not have fetal cells but it does have mRNA that will alter DNA I will die before I fall in line with a mandatory shot And I dont care what tracker is seeing this,1
1337003593694588929t,  The Oxford vaccine uses a virus that affects chimpanzees and that was genetically modified to the virus that causes covid19The results are that the organism reacts without noveltybut this is in the organisms of the volunteersAnd what about the other humanswe are not identical,1
1423004583522152454t,DEADLY SHOTS Former Pfizer Employee Confirms Poison In COVID Vaccine 25 minute video on   ,1
1367320292117405703t,Catholic Bishops Avoid Johnson  Johnson Coronavirus Vaccine Created With Cells From Aborted Babies   ,1
1334533552688353281t,Obama mocked after promise to take Covid19  on camera Twitter recalls Flint waterdrinking stunt  the snake  oil vaccine  is toxic DO NOT TRUST the New Word Order Clan They are a chomping at the bit to be top dog in the Beast System Agenda  ,1
1380838247991967747t,   Actually long covid is a serious illness and is apparent in people who have had a mild or asymptomatic case of Covid19 That is why children are being diagnosed more than they were when covid was first spread But go ahead get your AstraZeneca vaccine or none at all,0
1338444423269658624t, The Pfizer vaccine is contradicted for people who have had adverse reactions to intramuscular injections and those on anticoagulants I have been having intramuscular injections for decades with no issues Is the Pfizer contradiction to cover their ass,0
1336524628974505986t,  In the meantime the UK carry on injecting the elderly with a Pfizer and BioNTech Covid Vaccine Containing Nano Tech  THIS NEED TO STOP ,1
1333265046709755907t,    Absolutely REFUSE the snake  oil Vaccine  Death is a better option God Bless you and thank you for this message,1
1437993363395911683t,Contaminants found in Pfizer vaccine in cities near Tokyo and Osaka  ,1
1374776642183311362t, I dont understand This vaccine is poison Why is Trump or you pushing it,1
1409325967055671297t,This company johnson  johnson Also produce covid19 Vaccines  Do you Trust them ,0
1311362435203444737t,Next step from Boris will be forced vaccines courtesy of his mate Bill Gates nice cut for CummingsBoris too 2 tier system no vaccine no access to NHS shops pubs etc immunity passport issued when vaccinated  This time next year we going to wish we lived in North Korea,0
1277322748772130817t,  Have you seen the result of the Moderna vaccine trials After these atrocious results  Bancel  CEO of Moderna dumped 17 million in stock In total Moderna executives dumped 25 million dollars in stock the day after the results were released  much to Faucis chagrin,0
1351363284612603913t,You have a point my dear After decades of HIV without a vaccine Covid 19 has a vaccine in just months Is it bse HIV didnt affect them Europeans and Americans the way Covid 19 has killed them,0
1345009673867563008t,      Yes Id heard that the vaccine is actually a poison and the government plans culling the UK population asap They think it will win lots of votes by killing millions of the electorate Too subtle for me,1
1245013193103224832t, Why are you making this vaccine with 18 month old babies parts,1
1373187768273211394t,A Chinese hospital worker had received two doses of a vaccine and got Covid Perhaps the efficacy of the Chinese vaccine needs looked at Brazil is using it which may be a problem as it the epicentre for new variants WHO comment ,0
1325906353827811328t, Pfizer vac is new tech The mRNA instructs your cells to manufacture viral protein on their cell surfaces Then your other immune cells make antibodies against those proteins on your own cells Could be problem ,1
1377399737188380673t,This vaccine ENTERS your cells and delivers genetic material It makes changes to said cells BY DESIGN We dont know about possible longterm effects and wont for years,1
1357820998406467584t,     So if the vaccine puts the uniquely covid bits of the virus in your body and the PCR test detects uniquely covid things about the virus then the vaccine could cause a false positive covid test result Thatd be pretty convenient for explaining away a lethal injection,1
1355268465804898306t,   I wish he had of silenced Fauci a little more Fauci is not the only virology specialist on the globe There are100s in the Mayo system they all say we should be using therapeutics to prevent deathsFauci is major investor in Pfizer maker of vaccine and Remdisivir Follow the ,0
1364025720859672577t, whats happening Does it have to do with that mRNA protein idk  but its doing something thats causing a chemical reaction that kills So Im arguing with a veterinarian about the vaccine,1
1376890708158730240t,    Also to require a vaccine passport for a vaccine that is not FDA approved is illegal,0
1374062762897330184t, That literally makes no sense considering 99 of vaccine ingredients are carcinogens,1
1346566733025435653t, No theyve been trying to find the vaccine for HIV for over 40 years dololo now its like what 2 years and theres vaccine for COVID 19 Remember how westerns used vaccines to colonize African stay woke,0
1316369381098696705t,One of the key purposes of the longplanned Corona crisis is to force everyone to be injected with Gates DNAaltering poison vaccine Another is to usher in a technofascist Great Reset Police State regime of control over the populations masquerading as green,1
1339443942383861760t,  Health care worker in Alaska experienced serious allergic reaction to Pfizers coronavirus vaccine  Pfizercoronavirusvaccine ,0
1244180385845538817t, True none of the medical textbooks mentioned about constituents of vaccinedoctors dont know why heavy metals are present in the vaccine Even the educational books and educational sites are censored,1
1254926576233439235t, The virus not killing enough people thats y they want everyone to take that vaccine and a chip not this fellow r my family they will have to kill me,1
1330980204886560770t, If you have the Oxford vaccine you might end up in a comma,0
1336909124408381440t, Very concerned Can we trust Pfizers COVID19Vaccine  Have they done enough research RT 2 of 1st pple vaccinated in the UK with Pfizer Covid19 shot had adverse reactions prompting regulator to warn those with a history of significant allergic reactions against having it,0
1345297401557311489t,  Pfizer chief weeks before admitted in world media about no efficacy guarantee money is driving force behind it all When you see reactions you will shudder at the thought Not one vaccine is worth it so far,0
1354791463415148547t,  Sorry just that bit of info so insignificant even forgot writing it but yeah I do not merit vaccine as priority 4 maybe 5 or 6 would do Just wait and wait u probably have some illness more significant,0
1344638006293102594t,Theyre Gonna Make Monkeys of Us All The AstraZenecaOxford vaccine is a chimpanzee adenovirusvectored vaccine Preliminary animal studies do not indicate direct or indirect harmful effects with respect to fertility But what about humans ,1
1353073049667420161t, The PfizerBioNTech COVID19 Vaccine includes the following ingredients mRNA lipids 4hydroxybutyl tested on mice which are nearly the same as humans gives bladder cancer,1
1336474347226140673t, Pfizer vaccine has had two people die in Brazil one after the first shot and one after the second shot There have been 4 people develop Bells palsy in UK from Pfizer vaccine You go ahead I wait for the second batch if it even gets to a second batch ,0
1341084660462460930t,    Tell us the same in a few weeks of better when she gives birth if that ever happens Side effects dont always come right away COVID19 vaccineDeath VaccinesDontWork vaccines pfizer,0
1440705286449164296t,     Its gene therapy not a vaccine in the traditional sense a traditional vaccine stays in the arm the MRNA travels around the body and its been found to accumulate in organs including the Ovaries,1
1328312523989377025t,  Why do we need a vaccine China has eliminated COVID without one ,0
1325836893037191168t, It is way too early for Pfizer to have the mic re distribution over a vaccine with no peerreviewed results I think the study testing it ultimately involved 94 cases of covid Should we even be discussing this before we have solid phase 3 data,0
1325900893791768576t,I dont believe them theres too many ear infections the virus mutates way too fast theres no way in hell its 90 math does not lie Pfizer Early Trial Data Suggests Coronavirus Vaccine Is 90 Effective  via ,0
1272936472375709697t,billgates  Moderna get paid Moderna is designed to change your RNA forever You will be their guinea pig  But they might send an ambulance to your GPS chip Vaccine Trial Catastrophe Moderna Vaccine has 20 Serious Injury Rate  ,1
1372059616041787394t,Lets hear some more about 50 billion chimpanzee viruses in each dose of the AstraZeneca vaccine Genetically modified to contain part of Covid very safe,1
1290621284490125312t,I take flu shots so Im not anti vaccines What Im against is rushing out a vaccine without proper trials Moreover theres no vaccine against the common cold a COVID19 cousin Why would this work,0
1254099615315623942t,   Anyone who agrees to be vaccinated with Bill Gates chipped vaccine wants their head read,1
1299625357901836288t,   Gates had his evil tentacles into everything from World bank dot chips covid passport WHO EU Agenda 30 A1 Big pharma vaccines to your microsoft to the gm modified food on your table chemtrails blocking sun in name of climate Close to the top of this evil web of deception Gates,1
1332449687912198146t,  Do Malaysians support abortion No doubt this Vaccine has fetal DNA in it Pfizer,1
1374782519971885063t,  Thats why I am advising my daughter against having the vaccine She has been diagnosed with autoimmune problems Hope shes ok Best wishes,0
1334602875352330243t,Lets see who really real who standing on business when they pass that covid vaccine out  I know Im not taking it,0
1316474222353551367t,  AstraZenecas vax uses Monkey Adenovirus while Russias vax uses Human Adenovirus  lots of differenceThe rests are highly dangerous adjuvants toxic emulsifiers deadly preservatives GMO live virusesbacteria fr other animals aborted fetusesmRNAchip,1
1333897616766103552t,Must just be a coincidence the media and medical establishment are using these same psychological signs to keep us obedient and compliant during covid COVID19 Covid19 CovidVaccine danlied ,0
1339662607800786944t,Moderna and Pfizer cannot be sued if vaccine side effects is severe in other words youre on your own if you get vaccinated I rather be on my own without it thank you much,0
1431022797296336897t,Japan Halts Use of 163 Million Moderna Vaccine Doses Over Contamination Fears  via Western Journal ,1
1343539944686542848t,  The transhuman slavery end game of the vaccine for covid They are literally trying to put us in a mindbodyfinancial matrix This video explains how and why ,0
1354435321509912579t,Think Three Times Before Taking the Covid Vaccine Professor Cahill a worldrenowned expert is under attack from her own university for expressing the dangers in the Covid vaccine In other words another case of shut up Apparently the vaccine cannot stand examination,0
1296029389889519616t, More concerned about the premise behind it  There has never been a successful effective vaccine for Corona type virii but were throwing money at anyone who claims theyll have one soon  Isnt that just encouraging them to be overly optimistic about their chances,0
1333382470700584960t,Maybe people who cant wait to get the vaccine should investigate what line of bullthis company is trying to sell No CEO would dump 62 of his stock if they created a miracle fix for the Rona Kinda makes you wonder about that flu shot too Big Pharma is vl ,0
